CPUs;Input Size;Time;Output
1;10x1M.txt;5.294518;y
1;10x1M.txt;5.283911;y
1;10x1M.txt;5.797791;y
1;10x1M.txt;5.258411;y
1;10x1M.txt;5.263187;y
1;10x1M.txt;5.262332;y
1;10x1M.txt;5.262379;y
1;10x1M.txt;5.265382;y
1;10x1M.txt;5.268561;y
1;10x1M.txt;5.267503;y
1;10x2M.txt;11.794985;y
1;10x2M.txt;11.765589;y
1;10x2M.txt;11.772000;y
1;10x2M.txt;11.783190;y
1;10x2M.txt;11.774195;y
1;10x2M.txt;11.778555;y
1;10x2M.txt;11.780111;y
1;10x2M.txt;11.778208;y
1;10x2M.txt;11.762482;y
1;10x2M.txt;11.784285;y
1;10x5M.txt;109.955170;y
1;10x5M.txt;109.872535;y
1;10x5M.txt;109.661553;y
1;10x5M.txt;109.782096;y
1;10x5M.txt;109.880505;y
1;10x5M.txt;109.853748;y
1;10x5M.txt;109.836683;y
1;10x5M.txt;109.879600;y
1;10x5M.txt;109.756141;y
1;10x5M.txt;109.765458;y
2;10x1M.txt;5.268287;y
2;10x1M.txt;5.281269;y
2;10x1M.txt;5.260816;y
2;10x1M.txt;5.258197;y
2;10x1M.txt;5.265604;y
2;10x1M.txt;5.266354;y
2;10x1M.txt;5.264218;y
2;10x1M.txt;5.267515;y
2;10x1M.txt;5.268138;y
2;10x1M.txt;5.263546;y
2;10x2M.txt;11.793484;y
2;10x2M.txt;11.775537;y
2;10x2M.txt;11.761293;y
2;10x2M.txt;11.764308;y
2;10x2M.txt;11.763160;y
2;10x2M.txt;11.769043;y
2;10x2M.txt;11.759998;y
2;10x2M.txt;11.776360;y
2;10x2M.txt;11.763425;y
2;10x2M.txt;11.762495;y
2;10x5M.txt;109.897106;y
2;10x5M.txt;109.934705;y
2;10x5M.txt;109.743356;y
2;10x5M.txt;109.825511;y
2;10x5M.txt;109.935530;y
2;10x5M.txt;109.874160;y
2;10x5M.txt;109.833618;y
2;10x5M.txt;110.201239;y
2;10x5M.txt;109.832097;y
2;10x5M.txt;109.756726;y
4;10x1M.txt;5.277466;y
4;10x1M.txt;5.274906;y
4;10x1M.txt;5.267159;y
4;10x1M.txt;5.266678;y
4;10x1M.txt;5.262753;y
4;10x1M.txt;5.622414;y
4;10x1M.txt;5.259915;y
4;10x1M.txt;5.262849;y
4;10x1M.txt;5.781041;y
4;10x1M.txt;5.264893;y
4;10x2M.txt;11.798182;y
4;10x2M.txt;11.774361;y
4;10x2M.txt;11.776439;y
4;10x2M.txt;11.747800;y
4;10x2M.txt;11.761564;y
4;10x2M.txt;11.778202;y
4;10x2M.txt;11.760562;y
4;10x2M.txt;11.771700;y
4;10x2M.txt;11.755374;y
4;10x2M.txt;11.779126;y
4;10x5M.txt;110.493415;y
4;10x5M.txt;110.936668;y
4;10x5M.txt;111.274756;y
4;10x5M.txt;111.246594;y
4;10x5M.txt;111.186933;y
4;10x5M.txt;110.005473;y
4;10x5M.txt;109.786440;y
4;10x5M.txt;109.837524;y
4;10x5M.txt;110.853503;y
4;10x5M.txt;110.186848;y
8;10x1M.txt;5.267113;y
8;10x1M.txt;5.270984;y
8;10x1M.txt;5.372315;y
8;10x1M.txt;5.269458;y
8;10x1M.txt;5.262784;y
8;10x1M.txt;5.263462;y
8;10x1M.txt;5.264930;y
8;10x1M.txt;5.263033;y
8;10x1M.txt;5.300156;y
8;10x1M.txt;5.268089;y
8;10x2M.txt;11.794196;y
8;10x2M.txt;11.770230;y
8;10x2M.txt;11.760816;y
8;10x2M.txt;11.778707;y
8;10x2M.txt;11.772164;y
8;10x2M.txt;11.767149;y
8;10x2M.txt;11.763230;y
8;10x2M.txt;11.762826;y
8;10x2M.txt;11.766192;y
8;10x2M.txt;11.778424;y
8;10x5M.txt;109.795595;y
8;10x5M.txt;110.025896;y
8;10x5M.txt;109.925452;y
8;10x5M.txt;109.711595;y
8;10x5M.txt;109.895360;y
8;10x5M.txt;109.824296;y
8;10x5M.txt;109.808845;y
8;10x5M.txt;112.405634;y
8;10x5M.txt;110.683515;y
8;10x5M.txt;109.990345;y
16;10x1M.txt;5.269720;y
16;10x1M.txt;5.282223;y
16;10x1M.txt;5.277963;y
16;10x1M.txt;5.263681;y
16;10x1M.txt;5.275222;y
16;10x1M.txt;5.262520;y
16;10x1M.txt;5.270142;y
16;10x1M.txt;5.269484;y
16;10x1M.txt;5.287404;y
16;10x1M.txt;5.265616;y
16;10x2M.txt;11.791677;y
16;10x2M.txt;11.773388;y
16;10x2M.txt;11.758646;y
16;10x2M.txt;11.776492;y
16;10x2M.txt;11.763190;y
16;10x2M.txt;11.759264;y
16;10x2M.txt;11.755959;y
16;10x2M.txt;11.765812;y
16;10x2M.txt;11.767180;y
16;10x2M.txt;11.768316;y
16;10x5M.txt;110.169004;y
16;10x5M.txt;109.870892;y
16;10x5M.txt;110.071392;y
16;10x5M.txt;110.210797;y
16;10x5M.txt;110.084775;y
16;10x5M.txt;109.827725;y
16;10x5M.txt;109.832715;y
16;10x5M.txt;109.837782;y
16;10x5M.txt;109.850984;y
16;10x5M.txt;109.894382;y
